red, green, blue, H, S, V, r, rg, most_red, least_red, most_yellow
149.67,45.11,43.22,88.24,194.84,149.67,61.34,151.56,162.0,-202.0,291.0
141.48,42.4,38.51,88.59,196.65,141.48,60.57,145.37,145.0,-225.0,309.0
197.82,156.26,61.77,21.09,177.83,197.82,-20.21,292.31,113.0,-210.0,394.0
127.73,41.56,54.19,143.56,177.5,127.73,31.98,115.1,130.0,-252.0,361.0
146.24,51.34,55.08,118.19,181.77,146.24,39.82,142.5,152.0,-196.0,326.0
184.93,118.01,49.24,26.87,189.51,184.93,17.68,253.7,149.0,-112.0,413.0
189.11,77.48,54.92,55.3,185.08,189.11,56.71,211.67,163.0,-181.0,389.0
151.76,58.76,48.06,98.3,188.52,151.76,44.94,162.46,166.0,-216.0,362.0
176.17,113.37,54.85,15.53,181.0,176.17,7.95,234.69,152.0,-239.0,390.0
165.18,89.76,66.01,39.46,162.48,165.23,9.41,188.93,167.0,-245.0,372.0
141.97,33.05,41.76,141.5,198.49,141.97,67.16,133.26,154.0,-246.0,275.0
181.03,106.03,62.8,17.78,171.3,181.03,12.2,224.26,155.0,-197.0,363.0
181.06,78.27,49.45,23.47,185.53,181.06,53.34,209.88,153.0,-160.0,336.0
152.9,39.88,43.56,110.28,197.14,152.9,69.46,149.22,170.0,-249.0,291.0
135.5,48.49,43.99,104.64,190.71,135.5,43.02,140.0,148.0,-250.0,339.0
171.05,104.77,57.83,14.39,175.73,171.25,8.45,217.99,142.0,-246.0,361.0
143.07,31.24,30.29,63.85,206.44,143.07,81.54,144.02,156.0,-169.0,272.0
166.02,61.72,40.12,24.63,199.31,166.02,64.18,187.62,158.0,-208.0,333.0
167.73,68.1,40.76,34.79,196.37,167.73,58.87,195.07,153.0,-222.0,341.0
144.2,32.71,28.51,47.88,209.0,144.2,82.98,148.4,182.0,-251.0,279.0
183.9,133.91,62.76,22.91,173.59,183.9,-12.77,255.05,145.0,-238.0,390.0
182.94,154.65,68.83,21.76,163.93,183.71,-40.54,268.76,86.0,-247.0,387.0
185.11,106.67,51.36,16.83,186.87,185.11,27.08,240.42,133.0,-244.0,365.0
191.51,153.8,70.24,21.5,166.31,192.0,-32.53,275.07,128.0,-208.0,375.0
196.66,149.19,68.53,18.55,168.7,196.66,-21.06,277.32,98.0,-230.0,385.0
